id,trial,subject_id,cond1,cond2,cond3,cond4,cond5,gender,age,specialty,degree,practice_type,years_practice,hours,responder,dv,cond
5,5,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,0,1
5,6,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,0,1
5,7,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,0,1
6,1,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,0,1
6,2,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,0,1
6,3,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,0,1
6,4,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,1,0
6,5,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,0,0
6,6,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,1,0
6,7,111,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,male,,Family medicine,MD,Private,,,responders,0,0
7,1,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,0,0
7,2,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,1,0
7,3,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,0,0
7,4,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,0,0
7,5,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,1,0
7,6,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,1,0
7,7,112,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,male,32,Family medicine,MD,Private,3,32,responders,0,0
8,1,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,0,0
8,2,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,1,0
8,3,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,0,0
8,4,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,1,0
8,5,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,1,0
8,6,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,1,0
8,7,113,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,male,76,Family medicine,MD,Private,43,30,responders,0,0
9,1,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
9,2,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
9,3,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,0,1
9,4,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
9,5,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
9,6,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
9,7,114,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,female,53,Family medicine,MD,Private,20,40,responders,1,1
10,1,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,0,1
10,2,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,1,1
10,3,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,0,1
10,4,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,1,1
10,5,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,1,1
10,6,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,1,1
10,7,117,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,male,38,Family medicine,MD,Private,9,50,responders,1,1
11,1,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,0,1
11,2,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,1,1
11,3,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,0,1
11,4,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,0,1
11,5,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,1,1
11,6,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,1,1
11,7,120,Antibiotics unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,32,Family medicine,MD,Private,5,30,responders,1,1
12,1,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,0,0
12,2,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,1,0
12,3,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,0,0
12,4,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,0,0
12,5,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,0,0
12,6,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,1,0
12,7,123,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,regular ordering,female,42,Family medicine,MD,Private,0,34,responders,,0
13,1,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,0,0
13,2,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,1,0
13,3,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,0,0
13,4,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,0,1
13,5,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,1,1
13,6,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,1,1
13,7,124,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,44,Family medicine,MD,Private,15,20,responders,1,1
14,1,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,0
14,2,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,0
14,3,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,0
14,4,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,1
14,5,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,1
14,6,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,1,1
14,7,131,OTC unpacked,Broad unpacked,grouping on top,OTC block second,reverse ordering,female,46,Family medicine,MD,Private,8,28,responders,0,1
15,1,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,1
15,2,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,1
15,3,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,1
15,4,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,0
15,5,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,1,0
15,6,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,0
15,7,133,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,regular ordering,female,43,Internal medicine,MD,FQHC,15,12,responders,0,0
16,1,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,0,0
16,2,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,1,0
16,3,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,0,0
16,4,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,0,1
16,5,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,0,1
16,6,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,1,1
16,7,137,OTC unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,48,Internal medicine,NP,FQHC,12,36,responders,1,1
17,1,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,1
17,2,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,,1
17,3,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,1
17,4,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,0
17,5,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,0
17,6,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,0
17,7,140,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,59,Internal medicine,NP,FQHC,33,32,responders,0,0
18,1,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
18,2,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,1,0
18,3,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
18,4,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
18,5,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
18,6,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
18,7,141,OTC unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,50,Family medicine,MD,FQHC,20,28,responders,0,0
19,1,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,0,1
19,2,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,1,1
19,3,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,0,1
19,4,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,0,1
19,5,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,0,1
19,6,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,0,1
19,7,142,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,reverse ordering,female,60,Internal medicine,NP,FQHC,16,28,responders,1,1
20,1,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,0,1
20,2,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,1,1
20,3,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,0,1
20,4,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,0,1
20,5,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,1,1
20,6,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,0,1
20,7,143,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,32,Internal medicine,MD,FQHC,1,28,responders,1,1
21,1,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,0
21,2,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,0
21,3,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,0
21,4,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,1
21,5,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,1
21,6,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,1
21,7,145,OTC unpacked,Broad unpacked,grouping on top,OTC block first,regular ordering,female,56,Family medicine,NP,FQHC,28,20,responders,0,1
22,1,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
22,2,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,1,0
22,3,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
22,4,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
22,5,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
22,6,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
22,7,148,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,53,Internal medicine,NP,FQHC,22,20,responders,0,0
23,1,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,1,0
23,2,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,0,0
23,3,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,0,0
23,4,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,0,0
23,5,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,0,0
23,6,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,0,0
23,7,150,OTC unpacked,Narrow unpacked,grouping on top,OTC block second,reverse ordering,female,41,Internal medicine,MD,FQHC,5,20,responders,1,0
24,1,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,1,1
24,2,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,1,1
24,3,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,0,1
24,4,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,0,0
24,5,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,,0
24,6,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,,0
24,7,151,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,female,30,Family medicine,NP,FQHC,2,40,responders,,0
25,1,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,1
25,2,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,1
25,3,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,1
25,4,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,0
25,5,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,0
25,6,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,0
25,7,152,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,35,Internal medicine,NP,FQHC,5,36,responders,0,0
26,1,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,1,0
26,2,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,0,0
26,3,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,0,0
26,4,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,0,1
26,5,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,1,1
26,6,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,1,1
26,7,153,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,regular ordering,female,37,Family medicine,NP,FQHC,9,34,responders,0,1
27,1,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,1
27,2,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,1
27,3,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,1
27,4,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,0
27,5,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,1,0
27,6,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,0
27,7,154,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,reverse ordering,female,46,Internal medicine,MD,FQHC,8,38,responders,0,0
28,1,156,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,37,Internal medicine,NP,FQHC,6,36,responders,1,1
28,2,156,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,37,Internal medicine,NP,FQHC,6,36,responders,0,1
28,3,156,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,37,Internal medicine,NP,FQHC,6,36,responders,1,1
28,4,156,Antibiotics unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,female,37,Internal medicine,NP,FQHC,6,36,responders,0,0
